TargetID	DrugID	Highest_status	MOA
T56365	D06TKR	Phase 2	CAR-T-Cell-Therapy
T00176	D07UKT	Phase 2	Antagonist
T02469	D0JW6R	Phase 2	Inhibitor
T05409	D0N1SH	Phase 2	Inhibitor
T08391	D01UAU	Phase 2	Inhibitor
T20333	D0YO4B	Phase 2	Antagonist
T25307	D0VB4X	Phase 2	Inhibitor
T28413	D08NZG	Phase 2	Antagonist
T33124	D03RXS	Phase 2	Inhibitor
T36741	D07UKT	Phase 2	Inhibitor
T44458	D0LF1U	Phase 2	Inhibitor
T45758	D0C8NG	Phase 2	Inhibitor
T59328	D0A6CC	Phase 2	Antagonist
T59328	D0FN4T	Phase 2	Antagonist
T62460	D01UAU	Phase 2	Inhibitor
T66693	D07CUR	Phase 2	Immunomodulator
T74002	D0YO4B	Phase 2	Antagonist
T84160	D08KTO	Phase 2	Antagonist
T86350	D06FUE	Phase 2	Antagonist
T87024	D03SHD	Phase 2	Inhibitor
T43415	D06WRF	Phase 2	Inhibitor
T13348	D9YG4P	Phase 2	Inhibitor
T15803	DB6XD8	Phase 2	Inhibitor
T17687	DZM65T	Phase 2	Inhibitor
T17986	DNM79H	Phase 2	Inhibitor
T22348	D4M8RS	Phase 2	Inhibitor
T22995	DXM30Y	Phase 2	Agonist
T23714	DS70MP	Phase 2	Activator
T25265	DNM79H	Phase 2	Inhibitor
T32240	DE09IO	Phase 2	Inhibitor
T51426	DX56JK	Phase 2	Agonist
T55273	DMEV15	Phase 2	.
T56697	DMF73Z	Phase 2	Inhibitor
T59631	DQM48O	Phase 2	Inhibitor
T60182	DLV0Z8	Phase 2	Antagonist
T60345	DI57MF	Phase 2	Inhibitor
T61698	DE09IO	Phase 2	Inhibitor
T67079	DE09IO	Phase 2	Inhibitor
T70977	D4USX5	Phase 2	Inhibitor
T71164	DI57MF	Phase 2	Inhibitor
T72545	D4M8RS	Phase 2	Inhibitor
T76233	DQM48O	Phase 2	Inhibitor
T79232	DNS58L	Phase 2	Antagonist
T80975	DN3Z5D	Phase 2	.
T82739	DA8W3Q	Phase 2	Inhibitor
T86836	DQ9OL5	Phase 2	.
T87166	DG68CL	Phase 2	Activator
T96721	DMEV15	Phase 2	.
T16802	DNET17	Phase 2	Inhibitor
T29036	DHB2K8	Phase 2	Inhibitor
T31072	DRT2P7	Phase 2	Replacement
T31072	D90UZW	Phase 2	Replacement
T32984	D3X2TH	Phase 2	Stabilizer
T65941	DR7EV6	Phase 2	.
T85076	D1RIW2	Phase 2	Inhibitor
T40474	D05BLN	Phase 2/3	Inhibitor
T07303	D05BLN	Phase 2/3	Inhibitor
T80975	D05BLN	Phase 2/3	Inhibitor
T60631	D05BLN	Phase 2/3	Inhibitor
T30081	D0Z9LP	Phase 2/3	Inhibitor
T36557	D03OSG	Phase 2/3	Agonist
T56365	D02CYL	Phase 2/3	.
T17502	D0GP1O	Phase 2/3	Inhibitor
T44771	DO5H6K	Phase 2/3	Inhibitor
T07485	DOST52	Phase 2/3	Inhibitor
T54789	DKH94Z	Phase 2/3	.
T96144	D0C3CZ	Phase 3	Modulator
T03818	D0JU5X	Phase 3	Antagonist
T21112	D0KE1F	Phase 3	Inhibitor
T20017	DFY58O	Phase 3	Inhibitor
T40874	DFYL51	Phase 3	Inhibitor
T80975	D0D7BX	Phase 3	Antagonist
T06841	D0A0MS	Phase 3	.
T11451	D0FM5M	Phase 3	Agonist
T23389	D0Y9HW	Phase 3	.
T59328	D0CR8H	Phase 3	.
T47101	D07PQJ	Phase 3	Inhibitor
T85605	D09WNK	Phase 3	Antagonist
T57011	D0P9BT	Phase 3	.
T51407	D00LNW	Phase 3	Inhibitor
T40332	D0FT4R	Phase 3	Inhibitor
T22839	D0FT4R	Phase 3	Inhibitor
T65755	D0L2UQ	Phase 3	Modulator
T54156	D0WL0Q	Phase 3	Modulator
T67894	D08JIP	Phase 3	.
T34867	D00BMF	Phase 3	Modulator
T60529	D0U3EP	Phase 3	Modulator
T31989	D0X6BX	Phase 3	Modulator
T78709	D06FKC	Phase 3	Agonist
T83813	D06FKC	Phase 3	Antagonist
T07806	D06FKC	Phase 3	Agonist
T14731	D0U3EP	Phase 3	Inhibitor
T16340	D09AYM	Phase 3	Inhibitor
T17687	D07PQJ	Phase 3	Antagonist
T26203	D0P9BT	Phase 3	Antagonist
T73215	D07PML	Phase 3	.
T59631	D08HWV	Phase 3	Inhibitor
T15000	DLOQ25	Phase 3	Inhibitor
T21960	D9NL3R	Phase 3	Inhibitor
T22976	DI4SM3	Phase 3	Replacement
T24982	DZB84T	Phase 3	Inhibitor
T25005	DUTJ12	Phase 3	Inhibitor
T40474	DQ5X1Z	Phase 3	Inhibitor
T40874	DT1FS0	Phase 3	Inhibitor
T44141	D9NL3R	Phase 3	Inhibitor
T47941	DST04F	Phase 3	Inhibitor
T51426	DBND71	Phase 3	Agonist
T59328	DWK96T	Phase 3	Inhibitor
T59328	DQ5X1Z	Phase 3	Inhibitor
T60708	D2RTQ0	Phase 3	Inhibitor
T60708	D1O9XQ	Phase 3	Inhibitor
T60708	DH3YK4	Phase 3	Inhibitor
T65883	D4HQ1F	Phase 3	.
T69494	D0QNS3	Phase 3	Antagonist
T73726	DM8BN1	Phase 3	Inhibitor
T83797	D9CI7V	Phase 3	Replacement
T87374	DWH79Q	Phase 3	Inhibitor
T99948	DLOQ25	Phase 3	Inhibitor
T99840	D0G2IC	Preregistration	Inhibitor
T73992	D0G2IC	Preregistration	Inhibitor
T99204	D0G2IC	Preregistration	Inhibitor
T66665	D0G2IC	Preregistration	Inhibitor
T60529	D0G2IC	Preregistration	Inhibitor
T93105	D0G2IC	Preregistration	Inhibitor
T65864	D0C7AA	Phase 4	Inhibitor
T03513	D81KMY	Phase 4	Agonist
T15776	D7I9JH	Phase 4	Inhibitor
T48873	D63WMQ	Phase 4	Antagonist
T84316	D07VFD	Registered	Modulator
T91331	D0U2CV	Phase 4	Inhibitor
T52624	D0U2CV	Phase 4	Inhibitor
T59328	D0O8GK	Approved	Inhibitor
T21945	D04WYX	Approved	Modulator
T84726	D04WYX	Approved	Modulator
T12475	D03QRS	Approved	Modulator
T40555	D09SGV	Approved	Inhibitor
T56365	D8L5PA	Approved	Inhibitor
T59631	DGQU43	Approved	Inhibitor
T10965	DU47SF	Approved	Inhibitor
T18477	D06NSS	Approved	Inhibitor
T30803	D0V4TY	Approved	Inhibitor
T66665	D0Q5XX	Approved	Inhibitor
T60529	D0Q5XX	Approved	Inhibitor
T05409	D0LJ8C	Approved	Modulator
T54132	D0X7GL	Approved	Modulator
T55959	D0W6KM	Approved	Inhibitor
T21945	D0W6KM	Approved	Inhibitor
T27812	D0W6KM	Approved	Inhibitor
T42748	D0W6KM	Approved	Inhibitor
T73215	D0IM6T	Approved	Immunostimulant
T86192	D0X7GL	Approved	Activator
T20761	D5DO9L	Approved	Inhibitor
T60182	DE5N3K	Approved	Agonist
T96721	D5DO9L	Approved	Inhibitor
T43658	DD1GK8	Approved	Inhibitor
T89592	D00JRS	Preclinical	Inhibitor
T89826	D00JRS	Preclinical	Inhibitor
T99149	D00QDJ	Investigative	Inhibitor
T99057	D00QDJ	Investigative	Inhibitor
T99582	D03PUA	Phase 3 Trial	Inhibitor
T99582	D03RIX	Phase 2 Trial	Inhibitor
T99582	D03ZYQ	Phase 2/3 Trial	Inhibitor
T94918	D04AGG	Phase 3 Trial	Inhibitor
T94307	D04DTH	Phase 2/3 Trial	Inhibitor
T94471	D04FOP	Phase 3 Trial	Inhibitor
T94514	D04GWO	Phase 2 Trial	Inhibitor
T99041	D05JAC	Phase 3 Trial	Inhibitor
T94918	D05LLH	Investigative	Inhibitor
T94879	D05ULR	Phase 3 Trial	Inhibitor
T99685	D05VYY	Investigative	Inhibitor
T94918	D06CAC	Investigative	Inhibitor
T90048	D06CXL	Phase 3 Trial	Antagonist
T97729	D06DKU	Phase 2/3 Trial	Blocker
T97729	D06ECJ	Phase 2/3 Trial	Blocker
T99009	D06VRI	Phase 1 Trial	Inhibitor
T98311	D06VSD	Phase 3 Trial	Inhibitor
T94119	D06ZVZ	Phase 2 Trial	Inhibitor
T94131	D06ZVZ	Phase 2 Trial	Inhibitor
T99685	D07ALX	Phase 2 Trial	Inhibitor
T98311	D07FRV	Phase 2 Trial	Inhibitor
T97982	D07JVU	Investigative	Inhibitor
T90038	D07TSV	Phase 3 Trial	Inhibitor
T98278	D07XRU	Phase 3 Trial	Blocker
T97719	D08ABQ	Phase 2 Trial	Inhibitor
T86573	D08QLM	Investigative	Inhibitor
